object_class,AdapterIntfType,AdapterName,Alias,AttrPos,AttrType,BusinessName,Cardinality,CompSubType,CompTypeVersion,CpOrder,CpPos,DataTypeName,Descript,Description,Direction,DispNameKey,ExecOnHint,ExpTxtNb,ExtDtQualName,ExtVersion,FcoGuid,FcoQualifiedName,FcoQualifiedName2,FcoQualifiedName3,FirstDate,FirstUser,GlobalId,GrpFunc,HasUnparsedIdent,IContextMapRef,IDataMapRef,IDeploySpec,IDisTechRef,IEndMapCp,IExOnLsRef,IExecUnit,IFcoId,IFolder,IMapAttr,IMapComp,IMapCompType,IMapConn,IMapCp,IMapCpRole,IMapExpr,IMapExprRef,IMapProp,IMapPropParent,IMapRef,IMapping,IOwnerMapAttr,IOwnerMapComp,IOwnerMapCp,IOwnerMapExpr,IOwnerMapProp,IOwnerMapping,IParMapAttr,IParMapCp,IPhyNode,IProject,IPropDef,IPropXrefValue,IRefId,IRefMapAttr,IRefMapComp,IRefMapRef,IScBaseMapping,IScId,IScMapping,IScOrigMapping,IScopingMapCp,IStartMapCp,ITechno,IndChange,InstObjNb,IntDtQualName,IntVersion,IsActive,IsCardinal,IsDerivedName,IsHidden,IsParsed,IsRequired,IsReusable,IsValid,JoinColNb,JoinNb,KeyColNb,KeyNb,LastDate,LastUser,Length,LinkDiagNb,MetadataVersion,MorigTxtNb,MtxtNb,Name,OdiVersion,OrigTxtNb,OriginRepositoryID,OtherObjectsNb,ParsedText,ParsedTxt,PlanAgentNb,Prec,PropDefGuid,PropDefQualifiedName,PropOrder,PropType,PropValue,PropValues,QualifiedName,QualifiedName2,QualifiedName3,RefCount,RefGuid,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId,RefText,RepositoryVersion,ScGuid,ScOrigMappingTag,Scale,ScenTxtNb,SortPos,SourceDt,StepNb,Text,TextHash,TextOnly,Txt,TxtNb,TypeName,UeOrigNb,UeUsedNb,ValidationCode,VarPlanAgentNb
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,3088f429-f37a-4c03-a4b9-62ae749418d9,,null,,,,null,,null,,,,,,,,null,,982211,,,,,,null,,,,2375555,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,0,,,,,,,,null,null,,,,,,,,,,,null,null,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,0,1,"<?xml version='1.0' encoding='UTF-8' standalone='yes'?>
<xmi:XMI xmlns:xmi='http://www.omg.org/spec/XMI/20131001' xmlns:DI='http://xmlns.omg.org/DI/2.0'>
  <documentation exporter='Oracle IDE' exporterVersion='12.2.1'/>
  <DI:Diagram xmi:type='DI:Diagram' xmi:id='id644e4c12-9fd0-4e71-8945-0e69afc3677a' zoom='0.0'>
    <contained xmi:type='DI:GraphNode' xmi:id='idec7d3266-92fa-4cee-9948-f55849e6a8de'>
      <contained xmi:type='DI:GraphNode' xmi:id='id2f328704-9ebd-4cbc-a429-b7319fd74408'>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='COMPACT'/>
        <size xmi:type='DI:Dimension' height='100.0' width='100.0'/>
      </contained>
      <contained xmi:type='DI:GraphNode' xmi:id='id8ede017a-21bb-415f-b80d-d18991b2bf29'>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='SYMBOLIC'/>
        <size xmi:type='DI:Dimension' height='119.47607421875' width='229.0'/>
      </contained>
      <contained xmi:type='DI:GraphNode' xmi:id='idb2c18d73-3907-4dae-a8cf-0de7ac25a538'>
        <anchorage xmi:type='DI:GraphConnector' xmi:id='id99a92cc3-ec4d-443c-b61b-b968b3159f1b' graphEdge='idcec7dcbf-a733-4ffc-bd2e-43580158dbe2'/>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='Port-East'/>
      </contained>
      <position xmi:type='DI:Point' x='116.0' y='226.0'/>
      <property xmi:type='DI:Property' key='lineColor' value='#a5a5a5'/>
      <property xmi:type='DI:Property' key='font' value='SansSerif,plain,11'/>
      <property xmi:type='DI:Property' key='showAttributeStatic' value='true'/>
      <property xmi:type='DI:Property' key='fillColor' value='#c6d6ff'/>
      <property xmi:type='DI:Property' key='showAttributes' value='true'/>
      <property xmi:type='DI:Property' key='fontColor' value='#0'/>
      <property xmi:type='DI:Property' key='showPackage' value='false'/>
      <property xmi:type='DI:Property' key='showAttributeType' value='true'/>
      <property xmi:type='DI:Property' key='showStereotype' value='false'/>
      <property xmi:type='DI:Property' key='sortAttributesAlpha' value='true'/>
      <property xmi:type='DI:Property' key='showAttributeVisibility' value='true'/>
      <semanticModel xmi:type='DI:CoreSemanticModelBridge' element='LogicalInterfaceComponent:DATASTORE:LogicalAttributeDisplayerNode:99bc84dc-169d-4554-9cf4-caf92c9330f6' presentation='SYMBOLIC'/>
      <size xmi:type='DI:Dimension' height='119.47607421875' width='229.0'/>
    </contained>
    <contained xmi:type='DI:GraphNode' xmi:id='id23be2a2e-ad77-44f5-829c-5ea5fb2ef626'>
      <contained xmi:type='DI:GraphNode' xmi:id='id64b1736a-e645-4668-af3b-5af5911f6627'>
        <anchorage xmi:type='DI:GraphConnector' xmi:id='id145bef7f-913a-4054-a0fa-ba05da12b236' graphEdge='idf9c85e34-8add-4171-ac29-09f46093fbad'/>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='Port-East'/>
      </contained>
      <contained xmi:type='DI:GraphNode' xmi:id='id2a6a5564-8b90-461a-ab52-464809ec2e7c'>
        <anchorage xmi:type='DI:GraphConnector' xmi:id='id34bfa371-d8af-4993-89b3-56343e7bd711' graphEdge='idcec7dcbf-a733-4ffc-bd2e-43580158dbe2'/>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='Port-West'/>
      </contained>
      <position xmi:type='DI:Point' x='420.0' y='270.0'/>
      <property xmi:type='DI:Property' key='showStereotype' value='false'/>
      <property xmi:type='DI:Property' key='showPackage' value='false'/>
      <property xmi:type='DI:Property' key='isStacked' value='false'/>
      <property xmi:type='DI:Property' key='lineColor' value='#a5a5a5'/>
      <semanticModel xmi:type='DI:CoreSemanticModelBridge' element='LogicalInterfaceComponent:FILTER:LogicalIconicNode:940cecf1-a48c-49eb-ac52-dbc0c38e6d7c'/>
      <size xmi:type='DI:Dimension' height='50.0' width='50.0'/>
    </contained>
    <contained xmi:type='DI:GraphNode' xmi:id='idefc4c675-5244-401f-bf5f-4f0934aafc75'>
      <contained xmi:type='DI:GraphNode' xmi:id='id53788bca-9b6a-42ce-95fa-9367afef187b'>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='COMPACT'/>
        <size xmi:type='DI:Dimension' height='100.0' width='100.0'/>
      </contained>
      <contained xmi:type='DI:GraphNode' xmi:id='id0bb9dca1-95a4-4797-ad97-f459eaf04704'>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='SYMBOLIC'/>
        <size xmi:type='DI:Dimension' height='119.47607421875' width='200.0'/>
      </contained>
      <contained xmi:type='DI:GraphNode' xmi:id='id19f69c0e-abc7-40ca-9688-cc500ec59ce1'>
        <anchorage xmi:type='DI:GraphConnector' xmi:id='id7decc69b-f2e6-4a4a-8087-3234738a477a' graphEdge='idf9c85e34-8add-4171-ac29-09f46093fbad'/>
        <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='Port-West'/>
      </contained>
      <position xmi:type='DI:Point' x='585.0' y='240.0'/>
      <property xmi:type='DI:Property' key='lineColor' value='#a5a5a5'/>
      <property xmi:type='DI:Property' key='font' value='SansSerif,plain,11'/>
      <property xmi:type='DI:Property' key='showAttributeStatic' value='true'/>
      <property xmi:type='DI:Property' key='fillColor' value='#c6d6ff'/>
      <property xmi:type='DI:Property' key='showAttributes' value='true'/>
      <property xmi:type='DI:Property' key='fontColor' value='#0'/>
      <property xmi:type='DI:Property' key='showPackage' value='false'/>
      <property xmi:type='DI:Property' key='showAttributeType' value='true'/>
      <property xmi:type='DI:Property' key='showStereotype' value='false'/>
      <property xmi:type='DI:Property' key='sortAttributesAlpha' value='true'/>
      <property xmi:type='DI:Property' key='showAttributeVisibility' value='true'/>
      <semanticModel xmi:type='DI:CoreSemanticModelBridge' element='LogicalInterfaceComponent:DATASTORE:LogicalAttributeDisplayerNode:744c06a7-5a31-491b-a570-31de406f7064' presentation='SYMBOLIC'/>
      <size xmi:type='DI:Dimension' height='119.47607421875' width='200.0'/>
    </contained>
    <contained xmi:type='DI:GraphEdge' xmi:id='idcec7dcbf-a733-4ffc-bd2e-43580158dbe2' anchor='id99a92cc3-ec4d-443c-b61b-b968b3159f1b id34bfa371-d8af-4993-89b3-56343e7bd711'>
      <semanticModel xmi:type='DI:CoreSemanticModelBridge' element='LogicalInterfaceComponent:EDGE:LogicalSimpleEdge:99bc84dc-169d-4554-9cf4-caf92c9330f6->940cecf1-a48c-49eb-ac52-dbc0c38e6d7c'/>
      <waypoint xmi:type='DI:Point' x='344.0' y='285.738037109375'/>
      <waypoint xmi:type='DI:Point' x='423.0' y='286.0'/>
    </contained>
    <contained xmi:type='DI:GraphEdge' xmi:id='idf9c85e34-8add-4171-ac29-09f46093fbad' anchor='id145bef7f-913a-4054-a0fa-ba05da12b236 id7decc69b-f2e6-4a4a-8087-3234738a477a'>
      <semanticModel xmi:type='DI:CoreSemanticModelBridge' element='LogicalInterfaceComponent:EDGE:LogicalSimpleEdge:940cecf1-a48c-49eb-ac52-dbc0c38e6d7c->744c06a7-5a31-491b-a570-31de406f7064'/>
      <waypoint xmi:type='DI:Point' x='467.0' y='286.0'/>
      <waypoint xmi:type='DI:Point' x='586.0' y='299.738037109375'/>
    </contained>
    <property xmi:type='DI:Property' key='alignmentRulersColor' value='#99d9ea'/>
    <property xmi:type='DI:Property' key='snapToGrid' value='true'/>
    <property xmi:type='DI:Property' key='minLayoutDistance' value='40'/>
    <property xmi:type='DI:Property' key='gridSize' value='15'/>
    <property xmi:type='DI:Property' key='EdgeCrossingType' value='0'/>
    <property xmi:type='DI:Property' key='PageOrientation' value='1'/>
    <property xmi:type='DI:Property' key='showGrid' value='false'/>
    <property xmi:type='DI:Property' key='showAlignmentRulers' value='false'/>
    <property xmi:type='DI:Property' key='maxShapeWidth' value='200'/>
    <property xmi:type='DI:Property' key='maxEntriesInShape' value='10'/>
    <property xmi:type='DI:Property' key='ContainerLayoutStyle' value='2'/>
    <property xmi:type='DI:Property' key='DiagramLayoutStyle' value='2'/>
    <property xmi:type='DI:Property' key='PaperOrientation' value='Portrait'/>
    <property xmi:type='DI:Property' key='PrintAreaX' value='0.0'/>
    <property xmi:type='DI:Property' key='PrintAreaY' value='0.0'/>
    <property xmi:type='DI:Property' key='PrintAreaWidth' value='0.0'/>
    <property xmi:type='DI:Property' key='PrintAreaHeight' value='0.0'/>
    <semanticModel xmi:type='DI:SimpleSemanticModelBridge' typeInfo='etl_xinterface_logical'/>
  </DI:Diagram>
</xmi:XMI>",,,,,null,
SnpMapProp,,,,,,null,,,,,,,null,null,,null,,,,,,,,,,,1bef6e64-cbe8-40e5-bdcf-b4c85d77b7cb,,,,,null,,,,null,,,null,null,,,null,,,,2375554,null,,33424,,,,,,33424,,,null,,194,null,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,TARGET_LOAD_ORDER,,,,,,,,,null,null,-1,E,null,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SnpMapExpr,,,,,,,,,,,,,,,,,N,,,,,,,,null,null,8db1d4cb-fcd1-42eb-8152-5f2c25bf95df,,null,,,,null,,null,,,,,,,,null,,982210,,,,,,null,,,,2375554,,,,,,,,,,,,,,,,,,,null,,,null,null,,,,0,,,,,,,,null,null,,,,,,,,,,,null,null,,,,,,,,null,,,,,,,,,,,,,,,,,,,,null,0,0,null,,,,,null,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_FOLDER.4111,CW_PRJ_EDW_PILOT.Test,16.4,SNP_PROJECT.SNP_FOLDER,5bc84a14-db68-49ca-bb05-2209a4926d8d,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPING.33424,CW_PRJ_EDW_PILOT.Test.Test_3,16.4.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING,fa4adfd8-3d3b-402f-9728-c31209f76e0c,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.169332,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Nm,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,8f0953e2-76cd-49d4-a611-72b0368ccd71,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_TABLE.8583,Copy of EDW_SEM.Global.D_PMT_METH_TYPE,15.6.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,11ebabad-5212-43df-9a41-43c6a405c40f,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828814,null,null,null,e658b581-62c1-41b5-a73b-1615dd746cd2,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCOMPTYPE.1,DATASTORE,9,SNP_MAPCOMPTYPE,0d5a2da0-6631-4235-8da3-c3b153d2191f,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCOMP.191370,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE,16.4.6.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,744c06a7-5a31-491b-a570-31de406f7064,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCPROLE.2,DATASTORE.OUTPUT,9.6,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,ac3fd92c-54be-414b-98fb-6ccdf50b11b6,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCP.404959,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1,16.4.6.15.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,72968760-2cf5-4b7a-b905-1e843850cadb,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828820,null,null,null,564063c3-7020-4b9b-be8e-0f9771e4881d,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828819,null,null,null,2906a6b8-ff22-496d-b3f0-0efa303d0003,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCPROLE.1,DATASTORE.INPUT,9.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,afc08a78-e4fb-43bd-b602-ee46151b080e,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403552,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Nm,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,d56af716-c985-435f-81fe-66d430572180,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCP.404958,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.INPUT1,16.4.6.15.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,d30d3df7-3944-4c11-ba23-45b769676430,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.180829,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Nm,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,0a9ebcc7-caf6-4aed-b78f-211c2b6903fe,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_TABLE.9418,Copy of EDW_VODACOM.Global.PMT_METH_TYPE,19.6.13,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE,8387f7b7-54ac-4c99-9a71-b53ace96e599,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCP.404955,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1,16.4.6.13.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,da192690-bfc0-4931-ada0-344b7e2b083e,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828818,null,null,null,92abde7f-3866-40f8-907d-ef77a97c9e85,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828813,null,null,null,7b7ef6fd-b3a7-4134-b27c-01743f02039d,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCOMP.191368,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE,16.4.6.13,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,99bc84dc-169d-4554-9cf4-caf92c9330f6,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPEXPR.982208,null,null,null,0416c0ba-87ef-4085-845f-0d3d9c31a222,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403548,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Nm,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,a4f55ba2-d632-4c87-9808-e9fabc3afc6c,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_DT.301,Teradata.TIMESTAMP,8.9,SNP_TECHNO.SNP_DT,e14b0421-fe9a-3844-9b52-64d96a1ed0de,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_COL.180832,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Prcss_Clsd_Dttm,19.6.13.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,4fa524ef-3e35-4b39-bc55-fe288d0e1cf0,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828823,null,null,null,4e3fe6b8-8bc4-4e71-aac0-95302279b367,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPREF.1828824,null,null,null,f59120ba-0d2f-4caf-8dfb-7e130f73661c,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCOMPTYPE.2,FILTER,6,SNP_MAPCOMPTYPE,11f14cfc-70cd-486f-ad64-82882dba1d8f,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCOMP.191369,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER,16.4.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,940cecf1-a48c-49eb-ac52-dbc0c38e6d7c,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCPROLE.3,FILTER.INPUT,6.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,96e773bf-b23c-4402-a34e-a0229a7e692a,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPEXPR.982212,null,null,null,7fcc6ab3-cd9d-4fb6-8199-7cc872977300,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPATTR.1403550,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Prcss_Clsd_Dttm,16.4.6.13.7.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,0e605c97-2de9-458d-91e7-712cdb62ab33,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPCP.404956,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER.INPUT1,16.4.6.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,169fedbb-4c60-4ff2-85c1-8e68de9cc989,,,,,,,,,,,,,,,,,,,
SnpFKXRef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNP_MAPPROPDEF.36,FILTER.FILTER_CONDITION,6.16,SNP_MAPCOMPTYPE.SNP_MAPPROPDEF,b0aee92f-3018-4de9-b2ed-82e9f2891a4f,,,,,,,,,,,,,,,,,,,
