object_class,RefKey,RefObjFQName,RefObjFQNameLengths,RefObjFQType,RefObjGlobalId
SnpFKXRef,SNP_MAPCOMP.191368,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE,16.4.6.13,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,99bc84dc-169d-4554-9cf4-caf92c9330f6
SnpFKXRef,SNP_MAPEXPR.982208,null,null,null,0416c0ba-87ef-4085-845f-0d3d9c31a222
SnpFKXRef,SNP_MAPATTR.1403548,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Nm,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,a4f55ba2-d632-4c87-9808-e9fabc3afc6c
SnpFKXRef,SNP_DT.301,Teradata.TIMESTAMP,8.9,SNP_TECHNO.SNP_DT,e14b0421-fe9a-3844-9b52-64d96a1ed0de
SnpFKXRef,SNP_COL.180832,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Prcss_Clsd_Dttm,19.6.13.15,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,4fa524ef-3e35-4b39-bc55-fe288d0e1cf0
SnpFKXRef,SNP_MAPREF.1828823,null,null,null,4e3fe6b8-8bc4-4e71-aac0-95302279b367
SnpFKXRef,SNP_MAPREF.1828824,null,null,null,f59120ba-0d2f-4caf-8dfb-7e130f73661c
SnpFKXRef,SNP_MAPCOMPTYPE.2,FILTER,6,SNP_MAPCOMPTYPE,11f14cfc-70cd-486f-ad64-82882dba1d8f
SnpFKXRef,SNP_MAPCOMP.191369,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER,16.4.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP,940cecf1-a48c-49eb-ac52-dbc0c38e6d7c
SnpFKXRef,SNP_MAPCPROLE.3,FILTER.INPUT,6.5,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,96e773bf-b23c-4402-a34e-a0229a7e692a
SnpFKXRef,SNP_MAPEXPR.982212,null,null,null,7fcc6ab3-cd9d-4fb6-8199-7cc872977300
SnpFKXRef,SNP_MAPATTR.1403550,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Prcss_Clsd_Dttm,16.4.6.13.7.15,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,0e605c97-2de9-458d-91e7-712cdb62ab33
SnpFKXRef,SNP_MAPCP.404956,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER.INPUT1,16.4.6.6.6,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,169fedbb-4c60-4ff2-85c1-8e68de9cc989
SnpFKXRef,SNP_MAPPROPDEF.36,FILTER.FILTER_CONDITION,6.16,SNP_MAPCOMPTYPE.SNP_MAPPROPDEF,b0aee92f-3018-4de9-b2ed-82e9f2891a4f
SnpFKXRef,SNP_MAPPROP.2375560,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER_CONDITION,16.4.6.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,54267f2e-e37d-4638-bea3-f7eb8870796c
SnpFKXRef,SNP_COL.169333,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Desc,15.6.15.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,883984c7-e06a-4291-908e-f38d3e7f4151
SnpFKXRef,SNP_MAPREF.1828822,null,null,null,59927b2e-23ee-42e3-a68b-947bac73df1d
SnpFKXRef,SNP_MAPATTR.1403553,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Desc,16.4.6.15.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,c189c8b6-024d-46e8-b54f-325abf23206e
SnpFKXRef,SNP_COL.180830,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Desc,19.6.13.18,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,c5f882e6-89c1-4da7-af41-396945c12cfc
SnpFKXRef,SNP_MAPREF.1828821,null,null,null,85ea0615-1c9a-47ed-b86b-71b48cfca05d
SnpFKXRef,SNP_MAPEXPR.982209,null,null,null,d64f10b7-f858-4259-b913-60883bc1ae66
SnpFKXRef,SNP_MAPATTR.1403549,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Desc,16.4.6.13.7.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,3cc32c59-8124-4e4a-ae5f-b44af45ff3c1
SnpFKXRef,SNP_COL.169331,Copy of EDW_SEM.Global.D_PMT_METH_TYPE.Pmt_Meth_Type_Cd,15.6.15.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,a1c68c79-4004-4777-93a9-03a03693afb7
SnpFKXRef,SNP_MAPREF.1828817,null,null,null,7c5d826e-44a7-4cfa-96a7-b48f1d699aa9
SnpFKXRef,SNP_MAPREF.1828816,null,null,null,5e33b58d-698f-47ab-afb3-a66428587329
SnpFKXRef,SNP_MAPATTR.1403551,CW_PRJ_EDW_PILOT.Test.Test_3.D_PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Cd,16.4.6.15.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,8af72fef-4994-4f75-a2ae-d96aca6ce673
SnpFKXRef,SNP_COL.180828,Copy of EDW_VODACOM.Global.PMT_METH_TYPE.Pmt_Meth_Type_Cd,19.6.13.16,SNP_MODEL.SNP_SUBMODEL.SNP_TABLE.SNP_COL,76e332bd-0772-4007-b269-53e01d97f9c3
SnpFKXRef,SNP_MAPREF.1828815,null,null,null,e7b08aef-3146-4e46-b482-1abd14ff00ca
SnpFKXRef,SNP_MAPEXPR.982207,null,null,null,8f6191de-f677-45ab-98b0-e1b8386b7bcb
SnpFKXRef,SNP_MAPATTR.1403547,CW_PRJ_EDW_PILOT.Test.Test_3.PMT_METH_TYPE.OUTPUT1.Pmt_Meth_Type_Cd,16.4.6.13.7.16,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP.SNP_MAPATTR,7984d970-dcd7-4bfb-8970-b5975dbd8b29
SnpFKXRef,SNP_DT.678,Teradata.VARCHAR,8.7,SNP_TECHNO.SNP_DT,ce91f01b-1028-3055-a164-aebdcf008277
SnpFKXRef,SNP_DT.677,Teradata.CHAR,8.4,SNP_TECHNO.SNP_DT,b428d44f-8fd1-3aa9-93b4-686dd936032b
SnpFKXRef,SNP_MAPCPROLE.4,FILTER.OUTPUT,6.6,SNP_MAPCOMPTYPE.SNP_MAPCPROLE,dfedb55a-d7d3-4b46-afdf-efa024d866cd
SnpFKXRef,SNP_MAPCP.404957,CW_PRJ_EDW_PILOT.Test.Test_3.FILTER.OUTPUT1,16.4.6.6.7,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPCOMP.SNP_MAPCP,2728cbab-cdb7-447d-8bc5-475f38718292
SnpFKXRef,SNP_MAPPROPDEF.19,DATASTORE.CHECK_NOT_NULL_INDICATOR,9.24,SNP_MAPCOMPTYPE.SNP_MAPPROPDEF,98fa7545-cdff-44fd-99a7-b5ef26f70b58
SnpFKXRef,SNP_MAPPROPDEF.191,XMLDiagramSettings,18,SNP_MAPPROPDEF,73fada02-4b4a-41b7-82a7-015a3bd763d9
SnpFKXRef,SNP_MAPPROP.2375555,CW_PRJ_EDW_PILOT.Test.Test_3.XMLDiagramSettings,16.4.6.18,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,429c74d6-6b8e-40c3-96df-0ec9c46488bd
SnpFKXRef,SNP_MAPPROPDEF.194,TARGET_LOAD_ORDER,17,SNP_MAPPROPDEF,9404d502-7340-4269-be5f-b175f57f0268
SnpFKXRef,SNP_MAPPROP.2375554,CW_PRJ_EDW_PILOT.Test.Test_3.TARGET_LOAD_ORDER,16.4.6.17,SNP_PROJECT.SNP_FOLDER.SNP_MAPPING.SNP_MAPPROP,1bef6e64-cbe8-40e5-bdcf-b4c85d77b7cb
